fixture,code,cluster,measure,page,staff,voice,expectedOnset,generatedOnset,onsetDiff,expectedPitch,generatedPitch,expectedChord,generatedChord,fragmentedSameClef,sequentialSameXCount,duplicateOwnershipCount
piano-dense-advanced-vector,incorrect-chord,nearby-voices-incorrectly-merged,2,,,,,,,,,G4 B4 D5,F#4 G#4 A#4 C5 C#5 D#5,,,
piano-dense-advanced-vector,incorrect-chord,remaining-pitch-masquerading-as-chord,2,,,,,,,,,G4 B4 D5,G#4 C5 D#5,,,
piano-dense-advanced-vector,incorrect-chord,remaining-pitch-masquerading-as-chord,2,,,,,,,,,E4 G#4 B4,F4 G#4 C5,,,
piano-dense-advanced-vector,onset-mismatch,complete-chord-wrong-onset,3,,1,1,0,0.5,0.5,G#4,G#4,,,,,
piano-dense-advanced-vector,onset-mismatch,complete-chord-wrong-onset,3,,1,1,0.5,1,0.5,A#4,A#4,,,,,
piano-dense-advanced-vector,onset-mismatch,complete-chord-wrong-onset,3,,1,1,0.5,1,0.5,C#5,C#5,,,,,
piano-dense-advanced-vector,onset-mismatch,complete-chord-wrong-onset,3,,1,1,1,0.5,0.5,C5,C5,,,,,
piano-dense-advanced-vector,onset-mismatch,complete-chord-wrong-onset,3,,1,1,3,2.5,0.5,G#4,G#4,,,,,
piano-dense-advanced-vector,onset-mismatch,complete-chord-wrong-onset,3,,2,2,0,0.5,0.5,E2,E2,,,,,
piano-dense-advanced-vector,onset-mismatch,complete-chord-wrong-onset,3,,2,2,0,0.5,0.5,B2,B2,,,,,
piano-dense-advanced-vector,onset-mismatch,complete-chord-wrong-onset,3,,2,2,0,0.5,0.5,E3,E3,,,,,
piano-dense-advanced-vector,onset-mismatch,complete-chord-wrong-onset,3,,1,1,1,1.5,0.5,G#4,G#4,,,,,
piano-dense-advanced-vector,onset-mismatch,complete-chord-wrong-onset,3,,1,1,1,1.5,0.5,D#5,D#5,,,,,
piano-dense-advanced-vector,onset-mismatch,complete-chord-wrong-onset,3,,1,1,3.5,3,0.5,A#4,A#4,,,,,
piano-dense-advanced-vector,onset-mismatch,complete-chord-wrong-onset,3,,1,1,3.5,3,0.5,C#5,C#5,,,,,
piano-dense-advanced-vector,onset-mismatch,complete-chord-wrong-onset,3,,2,2,1,1.5,0.5,F#2,F#2,,,,,
piano-dense-advanced-vector,onset-mismatch,complete-chord-wrong-onset,3,,2,2,1,1.5,0.5,C#3,C#3,,,,,
piano-dense-advanced-vector,onset-mismatch,complete-chord-wrong-onset,3,,2,2,3,2.5,0.5,A2,A2,,,,,
piano-dense-advanced-vector,onset-mismatch,complete-chord-wrong-onset,3,,2,2,3,2.5,0.5,E3,E3,,,,,
piano-dense-advanced-vector,onset-mismatch,complete-chord-wrong-onset,3,,1,1,3,2.5,0.5,C5,C#5,,,,,
piano-dense-advanced-vector,onset-mismatch,complete-chord-wrong-onset,3,,1,1,3.5,3,0.5,F#4,F4,,,,,
piano-dense-advanced-vector,missing-note,note-dropped-during-packing,3,,1,1,0,,,E4,,,,,,
piano-dense-advanced-vector,missing-note,note-dropped-during-packing,3,,1,1,0,,,B4,,,,,,
piano-dense-advanced-vector,extra-note,nearby-voices-incorrectly-merged,3,,1,1,,1,,,F4,,,,,
